nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
0,6a9d238bcea1a2048be99b86ffc04cf3cb3a7bbc691e0b3367738aca75d3820b,4,39,39,39,0,126.709875,2117.609875,0,1.0
1,dca59374d89a2e219b599fd8cee4ecaa8bbf1f38b5e3e8b938d85f895b082aec,2,73,73,73,0,61.570667,1929.855667,0,1.0
2,2d75f54ae9ac2232cb7d2ba5f4f96473798c87f7097a4073efe9de25c2b7e8e4,0,211,206,206,0,125.158917,90001.179667,1,0.976303317535545
3,cf0f547f0075bd2eac1b91033ee11455032a2a89b6b0bef179afe3bb9f3cb3fc,0,211,205,205,0,63.963459,90001.1545,1,0.9715639810426541
4,21e9d8aadfb456447d3703257591473ac15548fdb57f0217cddd55d6c7db35a9,0,211,204,204,0,63.521,90001.168042,1,0.966824644549763
5,4ebf8062212eb9e6b34604d44437a4f5de8e75ec6d60950b42ff3ddb648a7119,2,73,73,73,0,61.210167,2121.00775,0,1.0
6,e7f4864b6785dfe5f9d0df8b2d134272ad0d00ed454cf07c253c8c9e3d0551b8,0,211,203,203,0,62.094375,90001.154542,1,0.9620853080568721
7,6e2979831ed5ec2945842e78f0a63dbf9ebae0658bebe50b744263e53e9bc19f,1,105,105,105,0,127.305042,1831.899083,0,1.0
8,5bb7a7f5e7416145e633f685f5294ca3c59a67dcffbc47409371bd30be996dbe,2,73,73,73,0,62.524375,2057.847,0,1.0
9,91f17e5f3650935308061db286719a9cad14d947c531d02151f4e81c26272c61,1,105,105,105,0,124.036625,2432.64175,0,1.0
10,5e1ef0159ab121c348aef5024e07b4c4d66a2578846a4c4b2754807514c57c25,2,73,73,73,0,61.6235,2719.680584,0,1.0
11,f1890430feffc1c5d050b1ac10a79f8e164c0a8fe3c06456a3854c5cad8ec70c,4,39,39,39,0,62.1425,1139.873709,0,1.0
12,18cf0e1419725dc0394142fce8700a64e95e67f43f745ab732d9f2c10b17d151,3,67,67,67,0,61.660417,2541.45775,0,1.0
13,88bfb361e478a0927b61c457cadd84e8a25ac38334fa3d706e8f6a1464fcae92,4,39,39,39,0,61.930416,1414.667958,0,1.0
14,b97763dd4b14daea84d8459d42d1de90705f67696da8f3cf74e63801394f89bc,0,211,207,207,0,63.608833,90000.804,1,0.981042654028436
15,9a442592a83776d2f0b198129d74ecd9d85109cd087eb33e0577a67621c7d50a,2,73,73,73,0,65.843875,2078.700667,0,1.0
16,06c26e740b5dcf864383a840498c8eb40d0109b43c6af8e52fdea8bcec9db595,1,105,105,105,0,63.670958,3452.945166,0,1.0
17,91ad40a7470b7bf7f1b7dd4b6f88fafc3c46a4c274a5ebc305118e6fcbe4c412,0,211,202,202,0,66.714334,90000.732667,1,0.957345971563981
18,08055a347d4124fcf91f389fd0d5e5d187fba3d608d1706b722cb4863d854027,1,105,105,105,0,65.638584,2792.003167,0,1.0
19,3d4de5b32be077a00ec4a715575539292ca2fc39353de8cae52038aef5d66aac,1,105,105,105,0,61.03575,2123.252208,0,1.0
20,54850dd0196265dc0099bf1d5946b6666c5794b5106cb88af1e8def042eee2ca,3,67,67,67,0,62.499708,1771.228417,0,1.0
21,0c094648fe8af7a0b29635f1ba81a52f72ecf2da13141e3caa335268414a1cb4,0,211,207,207,0,62.020833,90001.124792,1,0.981042654028436
22,a55d00c6206b9f490064b72026dd9c782be3761fe588eda1555819f3ed40d7b9,1,105,105,105,0,63.114,2989.596541,0,1.0
23,661d1642e28ad84e711895bef1a92b9baa06265c1f0a0de0c8c6e863357e0a5a,3,67,67,67,0,62.480208,1461.209958,0,1.0
24,6ec05513d3cfb385791443d8eb6883b137b434ddcd4b4796f3cc611a592e6563,0,211,208,208,0,123.896666,90000.708166,1,0.985781990521327
25,2c03b0d702b54523485a3faca68b2a9a8992d9976d2da9b266d88bc4e09533b4,3,67,67,67,0,62.022209,1445.494417,0,1.0
26,e12b06f3cce8d517139e55a494e75e4d533f3fe74dccbb4c1d4d329860f39c8c,0,211,202,202,0,62.077625,90000.700375,1,0.957345971563981
27,732b478654bd5d77b6711ae98112e24be69563a01b773285ead681685b2abef2,3,67,67,67,0,134.036875,2188.722833,0,1.0
28,17635c13dced5509c9505bdcd52e898d92db55d742a15d34e8bf6f94417caaff,2,73,73,73,0,60.922625,2672.020959,0,1.0
29,0f454e535a373d17b55a656a025b78efa91b656fe20a6dbb56f8d1493365fbe6,0,211,203,203,0,61.07275,90001.041708,1,0.9620853080568721
30,9730f43b1c52bfebd25e706d38608fd082d1ee56e3ee95c49e1955ad2b3d731a,0,211,203,203,0,125.794667,90001.044083,1,0.9620853080568721
31,8db5f1af74dc66b1eb5aac67d423543c231369ae04cb3f2e9c8aaf5683e28cce,3,67,67,67,0,127.674333,2051.628,0,1.0
32,4f0626369c6b467ac6054173131c01845eb6a7ca1ad6566d214a7ae1af776a3d,2,73,73,73,0,63.425708,1839.073292,0,1.0
33,425c0f0118d35f68a7cd691bf49ebef1be87ab04e6f927a3e7879a65296e4d0d,2,73,73,73,0,62.310167,2537.578125,0,1.0
34,f75d2126806007c807a57de075e149fabc5ab86d73984e198e9d9e55e8fe419b,1,105,105,105,0,62.496,2823.537041,0,1.0
